PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activity Summary,Ratio Activity,Ratio Potency (uM),Ratio Efficacy (%),535 nm Activity,535 nm Potency (uM),535 nm Efficacy (%),590 nm Activity,590 nm Potency (uM),590 nm Efficacy (%),Viability Activity,Viability Potency (uM),Viability Efficacy (%),Sample Source,standardised_smiles
1862,144205415.0,667483.0,CCOC1=CC=C(C=C1)NC(=S)NC2=CC=C(C=C2)OCC,Active,49.0,,,active antagonist,active antagonist,17.0368,-87.4839,inconclusive agonist,,20.9896,active antagonist,17.0368,-66.8134,inactive,,0,InterBioScreen,CCOc1ccc(NC(=S)Nc2ccc(OCC)cc2)cc1
1870,144205423.0,5284580.0,C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@@H]2[C@H](O[C@H](C[C@@H]2O)OC3CC[C@]4([C@@H](C3)CC[C@@H]5[C@@H]4CC[C@]6([C@@]5(CC[C@@H]6C7=CC(=O)OC7)O)C)C)C)O)O[C@H]8C[C@@H]([C@@H]([C@H](O8)C)O[C@H]9[C@@H]([C@H]([C@@H]([C@H](O9)CO)O)O)O)OC(=O)C,Active,63.0,,,active antagonist,active antagonist,0.427944,-68.8525,inactive,,0,active antagonist,0.367046,-73.2761,inactive,,0,InterBioScreen,CC(=O)O[C@H]1C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](OC4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)O[C@H](C)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
1888,144205441.0,71671.0,CC(C1=CC=CC=C1)NNC(=O)C2=CC=CC=C2,Active,44.0,,,active antagonist,active antagonist,24.791,-55.3303,inactive,,0,active antagonist,25.0066,-37.5539,inactive,,0,SigmaAldrich,CC(NNC(=O)c1ccccc1)c1ccccc1
1891,144205444.0,16837.0,CCOC1=CC=C(C=C1)N=NC2=C(C=C(C=C2)N)N,Active,60.0,,,active antagonist,active antagonist,2.70015,-90.8219,active antagonist,17.0368,-32.8466,active antagonist,2.59849,-87.1257,active antagonist,19.5704,-57.0247,SigmaAldrich,CCOc1ccc(N=Nc2ccc(N)cc2N)cc1
1893,144205446.0,6719.0,C1=CC=C(C=C1)C(C2=CC=CC=C2)C(=O)C3C(=O)C4=CC=CC=C4C3=O,Active,46.0,,,active antagonist,active antagonist,25.0066,-84.265,inactive,,0,active antagonist,25.9849,-68.234,inactive,,0,SigmaAldrich,O=C1c2ccccc2C(=O)C1C(=O)C(c1ccccc1)c1ccccc1
1896,144205449.0,31475.0,C1=CC(=CC=C1OC2=C(C=C(C=C2)NC(=O)C3=C(C(=CC(=C3)I)I)O)Cl)Cl,Active,63.0,,,active antagonist,active antagonist,3.2713,-110.058,active agonist,29.1555,146.365,active antagonist,2.40651,-83.2988,inactive,,0,SigmaAldrich,O=C(Nc1ccc(Oc2ccc(Cl)cc2)c(Cl)c1)c1cc(I)cc(I)c1O
1903,144205456.0,7572.0,C1=CC=C(C=C1)CC2=CC=C(C=C2)OC(=O)N,Active,50.0,,,active antagonist,active antagonist,22.2871,-114.63,active agonist,22.8883,50.8158,active antagonist,24.0651,-92.6307,inactive,,0,SigmaAldrich,NC(=O)Oc1ccc(Cc2ccccc2)cc1
1904,144205457.0,65620.0,CC1=NC2=C(C=C1)C(=CC(=C2O)Br)Br,Active,49.0,,,active antagonist,active antagonist,26.6032,-114.154,inactive,,0,active antagonist,25.1151,-81.9467,inactive,,0,SigmaAldrich,Cc1ccc2c(Br)cc(Br)c(O)c2n1
1914,144205467.0,4602.0,C1=CC=C(C(=C1)C(=O)NC2=CC=C(C=C2)O)O,Active,55.0,,,active antagonist,active antagonist,6.68242,-96.4631,active agonist,26.6032,50.2835,active antagonist,6.43084,-85.7721,inactive,,0,SigmaAldrich,O=C(Nc1ccc(O)cc1)c1ccccc1O
1918,144205471.0,8961.0,C1CC2=C(C=CC(=C2C1)Cl)O,Active,50.0,,,active antagonist,active antagonist,24.0651,-119.29,inconclusive agonist,,24.9788,active antagonist,25.0066,-117.599,inactive,,0,SigmaAldrich,Oc1ccc(Cl)c2c1CCC2
1928,144205481.0,21798.0,CNC(=O)OC1=CC=CC=C1C(=O)NC2=CC=CC=C2,Active,58.0,,,active antagonist,active antagonist,6.28136,-109.916,active agonist,23.159,161.627,active antagonist,6.78246,-83.0502,active antagonist,21.1317,-35.6455,SigmaAldrich,CNC(=O)Oc1ccccc1C(=O)Nc1ccccc1
1932,144205485.0,67686.0,C1N(CSC(=S)N1CC2=CC=CC=C2)CC3=CC=CC=C3,Active,43.0,,,active antagonist,active antagonist,21.1317,-41.8545,inactive,,0,inconclusive antagonist,,-47.6527,inactive,,0,SigmaAldrich,S=C1SCN(Cc2ccccc2)CN1Cc1ccccc1
1957,144205510.0,165457.0,CCOC1=CC2=C(C3=C(C=C(C=C3)N)N=C2C=C1)N.CC(C(=O)O)O.O,Active,61.0,,,active antagonist,active antagonist,3.22305,-103.164,inactive,,0,active antagonist,5.30804,-86.1252,inactive,,0,Vitas,CC(O)C(=O)O.CCOc1ccc2nc3cc(N)ccc3c(N)c2c1.O
1962,144205515.0,19646.0,C1=CSC(=C1)C(=O)NC2=NC=C(S2)[N+](=O)[O-],Active,68.0,,,active antagonist,active antagonist,0.732353,-94.9431,inactive,,0,active antagonist,0.704781,-93.421,active antagonist,21.1317,-55.0921,Vitas,O=C(Nc1ncc([N+](=O)[O-])s1)c1cccs1
1964,144205517.0,33334.0,COC1=CC2=C(C=C1)N=C(S2)NC(=O)NC3=CC=CC=C3,Active,64.0,,,active antagonist,active antagonist,1.46124,-92.814,active agonist,16.3953,532.717,active antagonist,1.20611,-78.9817,active antagonist,6.68242,-32.826,Vitas,COc1ccc2nc(NC(=O)Nc3ccccc3)sc2c1
1969,144205522.0,19910.0,C1=CC2=C(C=CC(=C2N=C1)O)[N+](=O)[O-],Active,51.0,,,active antagonist,active antagonist,9.21978,-80.2516,inactive,,0,active antagonist,9.21978,-71.5466,inactive,,0,Vitas,O=[N+]([O-])c1ccc(O)c2ncccc12
1974,144205527.0,616236.0,CCOC(=O)C1=C(N(C2=C1C=C(C=C2)O)C)C,Active,51.0,,,active antagonist,active antagonist,9.95529,-83.8971,active agonist,18.3959,74.861,inconclusive antagonist,,,inactive,,0,Vitas,CCOC(=O)c1c(C)n(C)c2ccc(O)cc12
1987,144205540.0,5283731.0,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](CCC3=C)O)C,Active,59.0,,,active antagonist,active antagonist,5.81729,-108.599,inactive,,0,active antagonist,5.3875,-101.142,inactive,,0,BIOMOL,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]12
1988,144205541.0,5280453.0,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](C[C@@H](C3=C)O)O)C,Active,51.0,,,active antagonist,active antagonist,14.0622,-94.1904,inactive,,0,active antagonist,13.0233,-78.3847,inactive,,0,Toronto Research,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O
1989,144205542.0,5283748.0,C[C@H](CC[C@H](C(C)(C)O)O)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](CCC3=C)O)C,Active,53.0,,,active antagonist,active antagonist,13.0233,-111.214,inactive,,0,active antagonist,13.0233,-98.0109,inactive,,0,BIOMOL,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CC[C@@H](O)C(C)(C)O)CC[C@@H]12
2001,144205554.0,5282138.0,CC1=C(C(C(=C(N1)C)C(=O)OC/C=C/C2=CC=CC=C2)C3=CC(=CC=C3)[N+](=O)[O-])C(=O)OCCOC,Active,53.0,,,active antagonist,active antagonist,12.533,-103.883,inactive,,0,active antagonist,13.5328,-99.5437,active antagonist,8.41267,-29.9388,SigmaAldrich,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC/C=C/c2ccccc2)C1c1cccc([N+](=O)[O-])c1
2013,144205566.0,32731.0,C1C(=NC(=O)N1N=CC2=CC=C(O2)C3=CC=C(C=C3)[N+](=O)[O-])[O-].[Na+],Active,56.0,,,active antagonist,active antagonist,4.55268,-85.6059,inactive,,0,active antagonist,4.38128,-90.4348,inactive,,0,BIOMOL,O=C1N=C([O-])CN1N=Cc1ccc(-c2ccc([N+](=O)[O-])cc2)o1.[Na+]
2019,144205572.0,6321253.0,CCN(CC)C(=O)N[C@H]1CN([C@H]2CC3=CNC4=CC=CC(=C34)C2=C1)C,Active,51.0,,,active antagonist,active antagonist,1.88336,-48.7463,inactive,,0,active antagonist,1.49601,-43.5419,inactive,,0,BIOMOL,CCN(CC)C(=O)N[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@@H]2N(C)C1
2052,144205605.0,10215.0,C1=CC=C2C(=C1)C(=C(N2)C3=NC4=CC=CC=C4C3=O)O,Active,50.0,,,active antagonist,active antagonist,6.45081,-64.2368,inactive,,0,active antagonist,6.45081,-51.4163,inactive,,0,BIOMOL,O=C1C(c2[nH]c3ccccc3c2O)=Nc2ccccc21
2056,144205609.0,445643.0,C[C@@H]1C[C@@H]([C@@H]2[C@H](C[C@H]([C@@](O2)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@@H]([C@H](CC(=O)[C@@H](/C=C(/C1)\C)CC=C)O)C)/C(=C/[C@@H]4CC[C@H]([C@@H](C4)OC)O)/C)O)C)OC)OC,Active,42.0,,,active antagonist,active antagonist,29.1555,-37.3226,inactive,,0,inconclusive antagonist,32.3306,-34.4524,inactive,,0,Sequoia,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC
2065,144205618.0,20054868.0,C[C@@H]1[C@H]([C@@H](C[C@@H](O1)O[C@H]2[C@@H](CC3=C(C2=O)C(=C4C(=C3)C=C(C(=C4O)C)O[C@H]5C[C@H]([C@H]([C@H](O5)C)OC(=O)O)O[C@@H]6C[C@H]([C@H]([C@H](O6)C)OC)O)O)[C@@H](C(=O)[C@H]([C@@H](C)O)O)OC)O[C@H]7C[C@H]([C@@H]([C@H](O7)C)O)O[C@H]8C[C@]([C@H]([C@@H](O8)C)OC(=O)C)(C)O)O,Active,50.0,,,active antagonist,active antagonist,12.3481,-84.2606,inactive,,0,active antagonist,11.8832,-82.4123,inconclusive agonist,0.841267,31.3741,BIOMOL,CO[C@@H]1[C@H](O)C[C@@H](O[C@@H]2C[C@H](Oc3cc4cc5c(c(O)c4c(O)c3C)C(=O)[C@@H](O[C@H]3C[C@@H](O[C@H]4C[C@@H](O[C@H]6C[C@](C)(O)[C@@H](OC(C)=O)[C@H](C)O6)[C@H](O)[C@@H](C)O4)[C@H](O)[C@@H](C)O3)[C@H]([C@H](OC)C(=O)[C@@H](O)[C@@H](C)O)C5)O[C@H](C)[C@@H]2OC(=O)O)O[C@@H]1C
2077,144205630.0,4021.0,CC1=NN(C(=O)C1)C2=CC=CC=C2,Active,55.0,,,active antagonist,active antagonist,16.3953,-135.66,inactive,,0,active antagonist,17.0368,-109.942,inactive,,0,SigmaAldrich,CC1=NN(c2ccccc2)C(=O)C1
2078,144205631.0,7547.0,C1=CC(=CC=C1NC(=O)NC2=CC(=C(C=C2)Cl)Cl)Cl,Active,85.0,,,active antagonist,active antagonist,0.174422,-116.033,active agonist,8.7418,772.102,active antagonist,0.211317,-69.1652,inconclusive antagonist,,-25.3774,SigmaAldrich,O=C(Nc1ccc(Cl)cc1)Nc1ccc(Cl)c(Cl)c1
2084,144205637.0,8814.0,CC(C)(C)CC(C)(C)C1=CC=C(C=C1)O,Active,61.0,,,active antagonist,active antagonist,3.81406,-105.194,inactive,,0,active antagonist,4.44687,-112.346,active antagonist,23.7101,-51.8567,NCI,CC(C)(C)CC(C)(C)c1ccc(O)cc1
2086,144205639.0,62485.0,CC(C)(C)CC(C)(C)C1=CC(=C(C=C1)O)N2N=C3C=CC=CC3=N2,Active,48.0,,,active antagonist,active antagonist,12.5873,-71.9217,inactive,,0,active antagonist,13.3332,-62.5625,inactive,,0,Chembridge,CC(C)(C)CC(C)(C)c1ccc(O)c(-n2nc3ccccc3n2)c1
2096,144205649.0,5974.0,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],Active,48.0,,,active antagonist,active antagonist,12.8312,-71.5175,active antagonist,21.1317,-31.9337,active antagonist,12.3481,-85.4183,inactive,,0,SigmaAldrich,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
2119,144205672.0,5591.0,CC1=C(C2=C(CCC(O2)(C)COC3=CC=C(C=C3)CC4C(=O)NC(=O)S4)C(=C1O)C)C,Active,54.0,,,active antagonist,active antagonist,10.5909,-105.61,active agonist,23.7101,79.0242,active antagonist,11.0053,-88.4576,inactive,,0,SigmaAldrich,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2
2120,144205673.0,2750.0,CC1(CCCCC1)COC2=CC=C(C=C2)CC3C(=O)NC(=O)S3,Active,56.0,,,active antagonist,active antagonist,8.21714,-105.917,active agonist,25.9849,65.6182,active antagonist,8.53861,-99.3931,inactive,,0,SigmaAldrich,CC1(COc2ccc(CC3SC(=O)NC3=O)cc2)CCCCC1
2126,144205679.0,11366.0,COC1=C(C=CC(=C1)C=C2CCCC(=CC3=CC(=C(C=C3)O)OC)C2=O)O,Active,56.0,,,active antagonist,active antagonist,6.28136,-98.1045,inactive,,0,active antagonist,5.59827,-87.1119,active antagonist,28.7255,-40.0006,Labotest,COc1cc(C=C2CCCC(=Cc3ccc(O)c(OC)c3)C2=O)ccc1O
2131,144205684.0,3109.0,C1=CC=[N+](C(=C1)SSC2=CC=CC=[N+]2[O-])[O-],Active,52.0,,,active antagonist,active antagonist,1.05909,-46.0422,inactive,,0,active antagonist,0.943918,-43.0686,inactive,,0,Labotest,[O-][n+]1ccccc1SSc1cccc[n+]1[O-]
2149,144205702.0,1549158.0,C1=CC(=CC=C1NN=C(N)N)N=NC(=S)N,Active,57.0,,,active antagonist,active antagonist,5.59827,-97.988,inactive,,0,active antagonist,5.81729,-95.7403,inactive,,0,Innovapharm,NC(=S)N=Nc1ccc(NN=C(N)N)cc1
2155,144205708.0,667492.0,CN1C2=CC=CC=C2C(=C1O)N=NC(=S)N,Active,56.0,,,active antagonist,active antagonist,5.81729,-95.8469,inactive,,0,active antagonist,5.18466,-85.8476,inactive,,0,Innovapharm,Cn1c(O)c(N=NC(N)=S)c2ccccc21
2165,144205718.0,4765.0,C1=CC(=CC=C1O)S(=O)(=O)O,Active,43.0,,,active antagonist,active antagonist,23.7101,-48.0953,inactive,,0,active antagonist,29.8493,-43.1886,inactive,,0,Labotest,O=S(=O)(O)c1ccc(O)cc1
2167,144205720.0,6999030.0,C1=CC(=C(C=C1[C@@H]([C@@H](C(=O)O)N)O)O)O,Active,43.0,,,active antagonist,active antagonist,26.6032,-52.9202,inactive,,0,active antagonist,26.6032,-54.7877,inactive,,0,Labotest,N[C@H](C(=O)O)[C@@H](O)c1ccc(O)c(O)c1
2176,144205729.0,5717.0,CC1=CC=CC=C1S(=O)(=O)NC(=O)C2=CC(=C(C=C2)CC3=CN(C4=C3C=C(C=C4)NC(=O)OC5CCCC5)C)OC,Active,54.0,,,active antagonist,active antagonist,10.5909,-108.49,active agonist,22.8175,105.277,active antagonist,11.0053,-83.9652,inactive,,0,Sequoia,COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12
2197,144205750.0,23663996.0,CC(C)(C1=CC=CC=C1CC[C@H](C2=CC=CC(=C2)/C=C/C3=NC4=C(C=CC(=C4)Cl)C=C3)SCC5(CC5)CC(=O)[O-])O.[Na+],Active,44.0,,,active antagonist,active antagonist,32.713,-71.7911,inactive,,0,active antagonist,32.713,-67.0626,inactive,,0,Sequoia,CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)[O-])CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1.[Na+]
2200,144205753.0,104850.0,CC1=C(N(N=C1C(=O)NN2CCCCC2)C3=C(C=C(C=C3)Cl)Cl)C4=CC=C(C=C4)Cl,Active,50.0,,,active antagonist,active antagonist,25.6016,-127.242,inactive,,0,active antagonist,25.6016,-122.843,inactive,,0,Sequoia,Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1
2204,144205757.0,92727.0,CC1=C(C(=CC=C1)C)OCC(=O)N[C@@H](CC2=CC=CC=C2)[C@H](C[C@H](CC3=CC=CC=C3)NC(=O)[C@H](C(C)C)N4CCCNC4=O)O,Active,44.0,,,active antagonist,active antagonist,32.713,-66.2188,inactive,,0,active antagonist,32.713,-61.3193,inactive,,0,Bosche,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O
2214,144205767.0,4006.0,CC(C)OC(=O)C(=C1SC=CS1)C(=O)OC(C)C,Active,49.0,,,active antagonist,active antagonist,14.9601,-82.4481,inactive,,0,inconclusive antagonist,18.8336,-55.3952,inactive,,0,Sequoia,CC(C)OC(=O)C(C(=O)OC(C)C)=C1SC=CS1
2226,144205779.0,23663976.0,CC(C)N1C2=CC=CC=C2C(=C1/C=C/[C@H](C[C@H](CC(=O)[O-])O)O)C3=CC=C(C=C3)F.[Na+],Active,48.0,,,active antagonist,active antagonist,27.644,-115.249,inactive,,0,active antagonist,26.6032,-90.7408,inactive,,0,Sequoia,CC(C)n1c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c2ccccc21.[Na+]
2231,144205784.0,50248.0,CSC1=NC2=CC(=C(C=C2N1)Cl)OC3=C(C(=CC=C3)Cl)Cl,Active,68.0,,,active antagonist,active antagonist,1.83959,-114.395,active agonist,22.2871,295.146,active antagonist,2.40651,-80.4444,inconclusive antagonist,2.11317,-22.6757,InterBioScreen,CSc1nc2cc(Oc3cccc(Cl)c3Cl)c(Cl)cc2[nH]1
2251,144205804.0,4499.0,CC1=C(C(C(=C(N1)C)C(=O)OCC(C)C)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,Active,50.0,,,active antagonist,active antagonist,18.1246,-104.741,inactive,,0,active antagonist,16.1535,-110.209,inactive,,0,Sequoia,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-]
2257,144205810.0,454216.0,CCCCC(=O)OCC(=O)[C@]1(C[C@@H](C2=C(C1)C(=C3C(=C2O)C(=O)C4=C(C3=O)C=CC=C4OC)O)O[C@H]5C[C@@H]([C@@H]([C@@H](O5)C)O)NC(=O)C(F)(F)F)O,Active,49.0,,,active antagonist,active antagonist,1.88336,-39.9027,active antagonist,5.01111,-34.4592,active antagonist,2.56016,-60.6207,inactive,,0,NCI,CCCCC(=O)OCC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](NC(=O)C(F)(F)F)[C@H](O)[C@H](C)O2)C1)C(=O)c1c(OC)cccc1C3=O
2288,144205841.0,12447.0,CC1=CC(=C(C2=CC=C(C=C2)N)C3=CC=C(C=C3)N)C=CC1=N.Cl,Active,70.0,,,active antagonist,active antagonist,0.367046,-87.7678,active antagonist,23.159,-36.9659,active antagonist,0.396327,-91.3884,inconclusive antagonist,,-29.8744,FLUKA,CC1=CC(=C(c2ccc(N)cc2)c2ccc(N)cc2)C=CC1=N.Cl
2296,144205849.0,220401.0,CN[C@H]1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,Active,51.0,,,active antagonist,active antagonist,0.530804,-37.2442,inactive,,0,active antagonist,0.559827,-41.2363,inactive,,0,FLUKA,CN[C@H]1CCc2cc(OC)c(OC)c(OC)c2-c2ccc(OC)c(=O)cc21
2322,144205875.0,65057.0,C1=CC=C(C=C1)C2=C(C2=O)C3=CC=CC=C3,Active,46.0,,,active antagonist,active antagonist,25.6016,-78.794,inactive,,0,active antagonist,25.6016,-73.6407,inactive,,0,FLUKA,O=c1c(-c2ccccc2)c1-c1ccccc1
2326,144205879.0,31280.0,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],Active,50.0,,,active antagonist,active antagonist,8.53861,-69.3112,active antagonist,23.7101,-54.0194,active antagonist,8.53861,-88.9709,active antagonist,27.644,-48.8702,FLUKA,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-]
2327,144205880.0,14250.0,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],Active,49.0,,,active antagonist,active antagonist,14.0622,-83.6251,active antagonist,23.7101,-51.7197,active antagonist,11.17,-104.301,inactive,,0,FLUKA,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
2333,144205886.0,9270.0,CC(=O)O[C@H]1CC[C@@H]2[C@H]3CC[C@]4([C@H]([C@@H]3CCC2=C1)CC[C@]4(C#C)OC(=O)C)C,Active,47.0,,,active antagonist,active antagonist,12.5873,-59.1099,inactive,,0,inconclusive antagonist,9.99848,-54.7287,inconclusive antagonist,11.2185,-26.0085,SIGMA,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C[C@@H](OC(C)=O)CC[C@@H]4[C@H]3CC[C@@]21C
2341,144205894.0,5311071.0,C[C@H]\1CC[C@@H](C/C1=C\C=C\2/CCC[C@]3([C@H]2CC[C@@H]3[C@H](C)/C=C/[C@H](C)C(C)C)C)O,Active,45.0,,,active antagonist,active antagonist,32.713,-78.0559,inactive,,0,active antagonist,32.713,-84.3014,inactive,,0,SIGMA,CC(C)[C@@H](C)/C=C/[C@@H](C)[C@H]1CC[C@H]2/C(=C/C=C3\C[C@@H](O)CC[C@@H]3C)CCC[C@]12C
2346,144205899.0,65651.0,C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=CC(=C(C=C2)Cl)OC3=C(C=C(C=N3)C(F)(F)F)Cl)F,Active,53.0,,,active antagonist,active antagonist,3.96327,-66.1675,inactive,,0,active antagonist,4.62084,-53.8954,inactive,,0,RIEDEL,O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Cl)c(Oc2ncc(C(F)(F)F)cc2Cl)c1
2354,144205907.0,9509.0,C1=CC(=CC=C1NC(=O)NC2=CC=C(C=C2)[N+](=O)[O-])[N+](=O)[O-],Active,66.0,,,active antagonist,active antagonist,0.455268,-79.3654,inactive,,0,active antagonist,0.37578,-76.6037,inactive,,0,SigmaAldrich,O=C(Nc1ccc([N+](=O)[O-])cc1)Nc1ccc([N+](=O)[O-])cc1
2371,144205924.0,9849425.0,C1=CC(=CC2=NC3=C(C=CC(=C3)N)C=C21)N.C1=CC(=CC2=NC3=C(C=CC(=C3)N)C=C21)N.OS(=O)(=O)O,Active,64.0,,,active antagonist,active antagonist,3.22305,-115.3,active agonist,26.6032,322.048,active antagonist,1.95704,-79.424,active agonist,8.91116,39.1615,SigmaAldrich,Nc1ccc2cc3ccc(N)cc3nc2c1.Nc1ccc2cc3ccc(N)cc3nc2c1.O=S(=O)(O)O
2373,144205926.0,5709754.0,CCN1/C(=C\C=C\C2=[N+](C3=CC=CC=C3C=C2)CC)/C=CC4=CC=CC=C41.[I-],Active,90.0,,,active antagonist,active antagonist,0.0140622,-90.6578,active antagonist,17.0368,-45.5281,active antagonist,0.0157781,-82.9111,inactive,,0,SigmaAldrich,CCN1/C(=C\C=C\c2ccc3ccccc3[n+]2CC)C=Cc2ccccc21.[I-]
2393,144205946.0,136183544.0,CS(=O)(=O)O.CS(=O)(=O)O.C1=CC(=CC=C1C=CC2=C(C=C(C=C2)C(=N)N)O)C(=N)N,Active,52.0,,,active antagonist,active antagonist,2.80578,-56.8191,inactive,,0,active antagonist,3.39928,-61.4223,inactive,,0,FLUKA,CS(=O)(=O)O.CS(=O)(=O)O.N=C(N)c1ccc(C=Cc2ccc(C(=N)N)cc2O)cc1
2408,144205961.0,42574.0,CC1=CC(=C(C=C1NC(=O)C2=C(C(=CC(=C2)I)I)O)Cl)C(C#N)C3=CC=C(C=C3)Cl,Active,65.0,,,active antagonist,active antagonist,3.02961,-116.501,active agonist,29.1555,235.416,active antagonist,2.70015,-77.575,inconclusive antagonist,,-35.9882,RIEDEL,Cc1cc(C(C#N)c2ccc(Cl)cc2)c(Cl)cc1NC(=O)c1cc(I)cc(I)c1O
2417,144205970.0,177843.0,CCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.O.O.[Cl-],Active,48.0,,,active antagonist,active antagonist,16.3953,-76.4154,active antagonist,23.7101,-58.6065,active antagonist,14.6124,-102.104,inactive,,0,FLUKA,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.O.O.[Cl-]
2435,144205988.0,135403821.0,C[C@H]1/C=C/C=C(\C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)[C@](O4)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)/C=N/N5CCN(CC5)C6CCCC6)/C,Active,67.0,,,active antagonist,active antagonist,1.46124,-104.327,active antagonist,18.3959,-62.0956,active antagonist,1.77033,-98.3951,inactive,,0,Bosche,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C6CCCC6)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C
2446,144205999.0,5362376.0,CCOC1=CC=CC=C1OCCN[C@H](C)CC2=CC(=C(C=C2)OC)S(=O)(=O)N.Cl,Active,45.0,,,active antagonist,active antagonist,27.2028,-69.9008,inactive,,0,active antagonist,27.0015,-91.0173,inactive,,0,Bosche,CCOc1ccccc1OCCN[C@H](C)Cc1ccc(OC)c(S(N)(=O)=O)c1.Cl
2453,144206006.0,40973.0,CC[C@]12CC(=C)[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CCCC[C@H]34,Active,51.0,,,active antagonist,active antagonist,22.2871,-125.294,inactive,,0,active antagonist,23.159,-102.039,inactive,,0,Bosche,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC
