PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activity Summary,Ratio Activity,Ratio Potency (uM),Ratio Efficacy (%),535 nm Activity,535 nm Potency (uM),535 nm Efficacy (%),590 nm Activity,590 nm Potency (uM),590 nm Efficacy (%),Viability Activity,Viability Potency (uM),Viability Efficacy (%),Sample Source
2626,144206179,4116,COC(C(Cl)Cl)(F)F,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Alfa Aesar
2627,144206180,59227,CCCN(CCC1=CC=CS1)[C@H]2CCC3=C(C2)C=CC=C3O,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,24.791,-63.6924,inactive,,0,inconclusive antagonist,24.791,-62.9335,inactive,,0,Bosche
2628,144206181,443936,CCCC(=O)O[C@@]1(CC[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2C[C@@H](C4=CC(=O)C=C[C@@]43C)F)F)O)C)C(=O)COC(=O)C,Inconclusive,5,,,inconclusive,inconclusive antagonist,29.8493,-54.8847,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
2629,144206182,9887053,C1CC[C@H]([C@@H](C1)[NH-])[NH-].C(=O)(C(=O)O)O.[Pt+2],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
2630,144206183,387447,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,active antagonist,0.0668242,-26.5806,inconclusive agonist,,24.1339,NCI
2631,144206184,11219835,C1=CC=C(C(=C1)C2=NC(=NO2)C3=CC(=CC=C3)C(=O)O)F,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive antagonist,17.7801,-37.1028,NCGCChem
2632,144206185,131535,CC(C)CN(C[C@H]([C@H](CC1=CC=CC=C1)NC(=O)O[C@H]2CCOC2)OP(=O)([O-])[O-])S(=O)(=O)C3=CC=C(C=C3)N.[Ca+2],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Toronto Research
2633,144206186,126565,C[C@@]12[C@](C[C@@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)(CO)O,Active,55,,,active antagonist,active antagonist,4.80161,-83.6692,active agonist,24.0651,243.956,active antagonist,4.56682,-55.5556,inactive,,0,Toronto Research
2634,144206187,213039,CC(C)CN(C[C@H]([C@H](CC1=CC=CC=C1)NC(=O)O[C@H]2CO[C@@H]3[C@H]2CCO3)O)S(=O)(=O)C4=CC=C(C=C4)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Toronto Research
2635,144206188,3052775,CS(=O)(=O)O.C#CCN[C@@H]1CCC2=CC=CC=C12,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Toronto Research
2636,144206189,444030,C1CN(C[C@@H]1C(C2=CC=CC=C2)(C3=CC=CC=C3)C(=O)N)CCC4=CC5=C(C=C4)OCC5.Br,Inconclusive,5,,,inconclusive,inconclusive agonist,,,inactive,,0,inactive,,0,inactive,,0,Toronto Research
2637,144206190,5625,CC(C)NC1=C(N=CC=C1)N2CCN(CC2)C(=O)C3=CC4=C(N3)C=CC(=C4)NS(=O)(=O)C,Inconclusive,5,,,inconclusive,inconclusive antagonist,26.6032,-74.0125,active agonist,23.159,34.3871,inactive,,0,inactive,,0,Toronto Research
2638,144206191,6917715,CC[C@]12CC(=C)[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Toronto Research
2639,144206192,154058,C1CN2CCC1[C@H](C2)OC(=O)N3CCC4=CC=CC=C4[C@@H]3C5=CC=CC=C5.Cl,Inconclusive,5,,,inconclusive,inconclusive agonist,7.07838,37.1401,inactive,,0,inactive,,0,inactive,,0,Toronto Research
2640,144206193,135413534,CC(C)[C@@H](C(=O)OCC(CO)OCN1C=NC2=C1N=C(NC2=O)N)N.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Toronto Research
2641,144206194,163701,CCN(CC)C(=O)[C@@]1(C[C@@H]1CN)C2=CC=CC=C2.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Toronto Research
2642,144206195,110635,CN1CC(=O)N2[C@@H](C1=O)CC3=C([C@H]2C4=CC5=C(C=C4)OCO5)NC6=CC=CC=C36,Inconclusive,5,,,inconclusive,inconclusive agonist,,,inactive,,0,inactive,,0,inactive,,0,Toronto Research
2643,144206196,5936,CC(C)OP(=O)(OC(C)C)F,Inconclusive,5,,,inconclusive,inconclusive agonist,,,inactive,,0,inactive,,0,inactive,,0,Toronto Research
2644,144206197,60749,C1=CN(C(=O)N=C1N)[C@H]2C([C@@H]([C@H](O2)CO)O)(F)F.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Toronto Research
2645,144206198,456389,C1=CC(=CC=C1C(C#N)C2=C(C=C(C=C2Cl)N3C(=O)NC(=O)C=N3)Cl)Cl,Active,54,,,active antagonist,active antagonist,11.17,-108.221,inconclusive agonist,,34.4221,active antagonist,12.0611,-109.27,inactive,,0,ATI
2646,144206199,8550,CO[C@H]1[C@@H](C[C@@H]2CN3CCC4=C([C@H]3C[C@@H]2[C@@H]1C(=O)OC)NC5=CC=CC=C45)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC,Active,60,,,active antagonist,active antagonist,4.62084,-110.503,active agonist,19.1156,31.284,active antagonist,4.62084,-110.542,inactive,,0,ATI
2647,144206200,9568628,CC[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C/C(=N/O)/CC[C@H]34,Active,54,,,active antagonist,active antagonist,13.5328,-122.138,inactive,,0,active antagonist,13.0233,-105.746,inactive,,0,Toronto Research
2648,144206201,23716429,CCCCCC[C@H](C/C=C\CCCCCCCC(=O)[O-])O.[K+],Active,45,,,active antagonist,active antagonist,23.7101,-64.611,inactive,,0,active antagonist,21.1317,-65.2223,inconclusive antagonist,13.3332,-29.1387,NCI
2649,144206202,69092,CCCOC(=O)C1=CC=CC=C1O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
2650,144206203,72060,CCC(C1=CC=CC=C1)C(=O)NC(=O)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
2651,144206204,14759,CCCCCC1=C(C=C(C=C1)C)O,Active,54,,,active antagonist,active antagonist,11.17,-108.986,inactive,,0,active antagonist,11.17,-97.8101,inconclusive antagonist,,-28.728,SigmaAldrich
2652,144206205,71773,CCOCC(COC1=CC=C(C=C1)NC(=O)CC[S+](C)C)O.CC1=CC=C(C=C1)S(=O)(=O)[O-],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
2653,144206206,8430,CCCCCCCCCCCC(=O)N(CCO)CCO,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
2654,144206207,156418,C[C@H](C1=CC=CC2=CC=CC=C21)NCCCC3=CC(=CC=C3)C(F)(F)F.Cl,Inconclusive,5,,,inconclusive,active agonist,3.53227,97.187,active antagonist,11.17,-37.7193,inconclusive antagonist,19.6922,-74.3261,inconclusive antagonist,26.6032,-84.0521,SigmaAldrich
2655,144206208,16161315,C[C@@H](C(=O)NCC(=O)N[C@H]1CSSC[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC1=O)CCCCN)CC(=O)N)CC2=CC=CC=C2)CC3=CC=CC=C3)CC4=CNC5=CC=CC=C54)CCCCN)C(C)O)CC6=CC=CC=C6)C(C)O)CO)C(=O)O)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,LKT Lab
2656,144206209,3084014,CC(C(C1=CC=C(C=C1)O)O)NC.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Timtec
2657,144206210,44151582,CO/N=C(/C1=CSC(=N1)N)\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)C[N+]4=CC=C(N4CCO)N)C(=O)[O-].OS(=O)(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Bosche
2658,144206211,135413505,C1=CC(=C(C=C1N=NC2=CC(=C(C=C2)[O-])C(=O)O)C(=O)O)[O-].[Na+].[Na+],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Bosche
2659,144206212,160243,C[N+]1(CC(CC(=C(C2=CC=CS2)C3=CC=CS3)C1)OC)C.[Br-],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Bosche
2660,144206213,6917754,CC(C)(C)NCC(C1=CC(=C(C(=C1)Cl)N)C(F)(F)F)O.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Bosche
2661,144206214,54679224,C1=C(C(=CNC1=O)Cl)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Bosche
2662,144206215,60196300,CO/N=C(/C1=CSC(=N1)N)\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)CSC4=CN=NS4)C(=O)O.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Bosche
2663,144206216,65906,CN(C1CCN(CC1)C2=NC3=CC=CC=C3N2CC4=CC=C(C=C4)F)C5=NC=CC(=O)N5,Inconclusive,10,,,inconclusive agonist,inconclusive agonist,,,inactive,,0,inconclusive agonist,,,inactive,,0,Bosche
2664,144206217,5284515,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C/C=C/3\C[C@H](C[C@@H](C3=C)O)O)C,Inconclusive,5,,,inconclusive,inconclusive antagonist,,,inactive,,0,inactive,,0,inactive,,0,Bosche
2665,144206218,135413497,C1=CC=C(C=C1)C2=C(C(=O)NC(=N2)N)Br,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Chembridge
2666,144206219,82146,CC1=CC2=C(C=C1C(=C)C3=CC=C(C=C3)C(=O)O)C(CCC2(C)C)(C)C,Active,53,,,active antagonist,active antagonist,13.5328,-111.147,active agonist,8.41267,43.4869,active antagonist,10.5909,-83.4955,inactive,,0,CiVentiChem
2667,144206220,10126299,CC1CC(=O)NN=C1C2=CC3=C(C=C2)N=C(N3)C4=CC=C(C=C4)OC.Cl,Inconclusive,5,,,inconclusive,active antagonist,9.58048,-72.7725,active agonist,16.3953,206.95,inconclusive agonist,,,inactive,,0,Enamine
2668,144206221,111332,CC(=O)OCC(=O)[C@]1(CC[C@@H]2[C@@]1(CC=C3[C@H]2CCC4=CC(=O)CC[C@@]43C)C)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,InterBioScreen
2669,144206222,231084,CC(C)CCC(=O)O[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,InterBioScreen
2670,144206223,5280899,CC1=C(C(C[C@@H](C1)O)(C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/C2=C(C[C@H](CC2(C)C)O)C)\C)\C)/C)/C,Inconclusive,10,,,inconclusive agonist,inconclusive agonist,,,inactive,,0,inconclusive agonist,,,inactive,,0,Sequoia
2671,144206224,6917974,C[C@]12CC[C@@H](C[C@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@]35[C@H](O5)C[C@@H]4C6=COC(=O)C=C6)C)O,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,2.56811,-53.3291,inactive,,0,active antagonist,2.3159,-46.397,inactive,,0,Sequoia
2672,144206225,387447,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Sequoia
2673,144206226,135409535,CC1=C(C2=C(C=C1)N=C(NC2=O)N)SC3=CC=NC=C3.Cl.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Sequoia
2674,144206227,5284572,CC1(C(=[N+](C2=C1C3=CC=CC=C3C=C2)CCCCS(=O)(=O)[O-])/C=C\C=C/C=C\C=C\4/C(C5=C(N4CCCCS(=O)(=O)[O-])C=CC6=CC=CC=C65)(C)C)C.[Na+],Inconclusive,20,,,active agonist,active agonist,11.17,204.114,active antagonist,5.42768,-34.8588,active agonist,10.5909,94.4477,inactive,,0,SigmaAldrich
2675,144206228,656612,CC1([C@@H]([C@H]1C(=O)OCC2=C(C(=CC(=C2F)F)F)F)C=C(Cl)Cl)C,Active,47,,,active antagonist,active antagonist,25.0066,-88.7915,active agonist,19.8634,39.6103,inconclusive antagonist,29.8493,-64.6372,inactive,,0,SigmaAldrich
2676,144206229,60196301,C1=CC(=CC=C1C=NN/C(=N/N=CC2=CC=C(C=C2)Cl)/N)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,,0,SigmaAldrich
2677,144206230,135445749,CN1C(CNC2=C1C(=O)NC(=N2)N)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)[O-])C(=O)[O-].[Na+].[Na+],Inconclusive,5,,,inconclusive,inconclusive antagonist,,,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
2678,144206231,4677,CC(C)(CO)C(C(=O)NCCC(=O)NCCSSCCNC(=O)CCNC(=O)C(C(C)(C)CO)O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
2679,144206232,26197,CCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
2680,144206233,1174,C1=CNC(=O)NC1=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
2681,144206234,7888,CC(CCCC(C)(C)O)CC=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
2682,144206235,114750,CN1C(=O)C[C@H](NC1=O)C(=O)N[C@@H](CC2=CN=CN2)C(=O)N3CCC[C@H]3C(=O)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Tocris
2683,144206236,71454,C1=CC(=CC(=C1)Cl)C(C2=CC3=C(C=C2)N=CN3)N4C=CN=C4.Cl,Inconclusive,5,,,inconclusive,inconclusive agonist,,,inactive,,0,inactive,,0,inactive,,0,Tocris
2684,144206237,3338,CCCCC(C1=CC=CC=C1)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,ChemSampCo
2685,144206238,3763,C(C(F)(F)F)(OC(F)F)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Matrix Scientific
2686,144206239,60196302,CCN(CC)CCOC[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)OCCN(CC)CC)O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
2687,144206240,5282184,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
2688,144206241,9985,CCCC1CCCCN1,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
2689,144206242,33344,CN1C(=O)C=C(S1)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
2690,144206243,6970,CC1CCC(C(C1)OC(=O)C2=CC=CC=C2O)C(C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,,0,SigmaAldrich
2691,144206244,71386,CCCC(=O)O[C@@]1([C@H](C[C@@H]2[C@@]1(CC(=O)[C@]3([C@H]2CCC4=CC(=O)C=C[C@@]43C)F)C)C)C(=O)CCl,Active,45,,,active antagonist,active antagonist,22.2871,-65.8288,inactive,,0,inconclusive antagonist,23.7101,-73.5333,inactive,,0,SigmaAldrich
2692,144206245,105024,C[Se]CC[C@@H](C(=O)O)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
2693,144206246,1053,CC1=NC=C(C(=C1O)CN)COP(=O)(O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
2694,144206247,,,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
2695,144206248,3033817,CS(=O)(=O)O.C1[C@@H]2CC(C[C@H]3N2CC(=O)C1C3)OC(=O)C4=CNC5=CC=CC=C54,Inconclusive,10,,,inconclusive agonist,inconclusive agonist,,,inactive,,0,inconclusive agonist,,,inactive,,0,Sequoia
2696,144206249,23697816,C12=C(NC(=O)NC1=O)[N-]C(=O)N2.[Na+],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
2697,144206250,57331769,C(CO[C@@H]1[C@H]([C@@H]([C@H](O[C@@H]1O)CO)O)O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
2698,144206251,60196303,C1CN2CC3=CCO[C@H]4CC(=O)N5[C@H]6[C@H]4[C@H]3C[C@H]2[C@@]61C7=CC=CC=C75.C1=CC=C(C=C1)CCl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
2699,144206252,8736,C(C(C(=O)[O-])O)C(=O)[O-].[Na+].[Na+],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
2700,144206253,31378,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@]2([C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O)F,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
2701,144206254,20056743,CCN(CC)CCOC(=O)C(C1=CC=CC=C1)(C2=CC=CC=C2)O.CBr,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
2702,144206255,23724801,C1CCN(CC1)CCOC(=O)C(C2=CC=CC=C2)(C3=CC=CC=C3)O.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
2703,144206256,443970,CN(C)[C@H](CC1=CC=CC=C1)C2=CC=CC=C2,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
2704,144206257,17671,CCCCCCCCCCCCCC[N+]1=CC=C(C=C1)C.[Cl-],Active,49,,,active antagonist,active antagonist,16.3953,-86.0606,active antagonist,25.9849,-39.6211,active antagonist,16.3953,-97.7851,inactive,,0,NCI
2705,144206258,25381,CC1(C2=CC=CC=C2C(=CCCN(C)C)C3=CC=CC=C31)C.Cl,Inconclusive,5,,,inconclusive,inconclusive agonist,10.5909,88.1073,inactive,,0,inactive,,0,inactive,,0,NCI
2706,144206259,3084014,CC(C(C1=CC=C(C=C1)O)O)NC.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
2707,144206260,13985,CCCCCCOC1=CC=C(C2=CC=CC=C21)C(=N)N(CCCC)CCCC.Cl,Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,10.3448,-78.4399,active antagonist,9.86947,-48.2003,active antagonist,8.87266,-89.7901,active antagonist,28.1796,-117.654,NCI
2708,144206261,23671932,CN(C)C=NC1=C(C=C(C(=C1I)CCC(=O)[O-])I)I.[Na+],Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,,0,NCI
2709,144206262,23675747,CC(=O)NC1=C(C(=C(C(=C1I)C(=O)[O-])I)N(C)C(=O)C)I.[Na+],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
2710,144206263,541384,CCCC(=O)NC1=C(C=C(C(=C1I)CC(CC)C(=O)[O-])I)I.[Na+],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
2711,144206264,26951,CC(C)C1=NC=C(N1C)[N+](=O)[O-],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
2712,144206265,2795,CN(C)CCC(C1=CC=CC=C1)(C2=CC=CC=C2Cl)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
2713,144206266,443942,CC1=C(OC2=C(C1=O)C=CC(=C2CN(C)C)OC)C3=CC=CC=C3.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
2714,144206267,3011155,COC1=NC(=NC2=C1N=CN2[C@H]3[C@H]([C@@H]([C@H](O3)CO)O)O)N,Inconclusive,5,,,inconclusive,inconclusive,,,inactive,,0,inactive,,0,inactive,,0,NCI
2715,144206268,192160,CC1=CC(=C2[C@H]3[C@H]4[C@](CC[C@@H]5C4(CCCC5(C)C)CO3)(OC2=C1)C)O,Inconclusive,5,,,inconclusive,inconclusive,,,inactive,,0,active antagonist,28.8147,-83.3572,inactive,,0,NCI
2716,144206269,35805,CC1([C@H]([C@@H](C2=C(O1)C=C(C=C2)OC)C3=CC=C(C=C3)OCCN4CCCC4)C5=CC=CC=C5)C,Inconclusive,5,,,inconclusive,inconclusive agonist,,70.1869,inactive,,0,inactive,,0,inactive,,0,NCI
2717,144206270,14668,CC(CN1C2=CC=CC=C2SC3=C1N=CC=C3)N(C)C.Cl,Inconclusive,5,,,inconclusive,inconclusive agonist,8.41267,28.6163,inactive,,0,inactive,,0,inactive,,0,NCI
2718,144206271,66251,CO[C@H]1C[C@@H]2CN3CCC4=C([C@H]3C[C@@H]2[C@@H]([C@H]1OC)C(=O)OC)NC5=C4C=CC(=C5)OC.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
2719,144206272,441412,CCCOC(C1=CC=CC=C1)(C2=CC=CC=C2)C(=O)OC3CCN(CC3)C.Cl,Inconclusive,20,,,active agonist,active agonist,15.7781,133.108,inactive,,0,active agonist,14.4416,111.782,inactive,,0,NCI
2720,144206273,10578,CCN1C2=CC=CC=C2SC1=CC=CC=CC3=[N+](C4=CC=CC=C4S3)CC.[I-],Active,76,,,active antagonist,active antagonist,0.0958048,-85.4341,active antagonist,24.0651,-64.823,active antagonist,0.0761005,-70.2258,inactive,,0,NCI
2721,144206274,155032,CC(C)(C)NCC(CSC1=NC(=CS1)C2=CC=C(S2)C(=O)N)O.Cl,Active,46,,,active antagonist,active antagonist,17.0368,-63.6496,inactive,,0,active antagonist,17.0368,-67.4845,inactive,,0,NCI
2722,144206275,42373,CCN(CC)C(=O)NC1=CC(=C(C=C1)OCC(CNC(C)(C)C)O)C(=O)C.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
2723,144206276,29112,CCCCCCCCCCOC1=C(C=C2C(=C1)C(=O)C(=CN2)C(=O)OCC)OCC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
2724,144206277,33309,CC(C)OC(=O)NC1=CC2=C(C=C1)N=C(N2)C3=CSC=N3,Inconclusive,5,,,inconclusive,active antagonist,20.6405,-64.5735,active agonist,28.0578,59.568,inactive,,0,inactive,,0,NCI
2725,144206278,108143,CC1(CCC(C2=C1C=CC(=C2)NC(=O)C3=CC=C(C=C3)C(=O)O)(C)C)C,Active,50,,,active antagonist,active antagonist,25.6811,-128.001,active agonist,24.0651,68.5323,active antagonist,28.8147,-78.3876,inactive,,0,NCI
2726,144206279,10114,C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)(C)C(=O)O,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,23.7101,-62.0936,inactive,,0,active antagonist,23.7101,-75.7795,inactive,,0,NCI
2727,144206280,6433412,C[C@@H]1C[C@@H]([C@@H]([C@H]([C@@H](CC(=O)O[C@@H](CC2C(O2)/C=C/C1=O)C)OC(=O)C)OC)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C)O[C@H]4C[C@@]([C@H]([C@@H](O4)C)OC(=O)CC(C)C)(C)O)N(C)C)O)CC=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,,0,NCI
2728,144206281,15559221,CC[C@@H]1C(=O)N2CCC[C@H]2C(=O)N([C@H](C(=O)N3CCC(=O)CC3C(=O)N[C@H](C(=O)OC([C@@H](C(=O)N1)NC(=O)C4=C(C=CC=N4)O)C)C5=CC=CC=C5)CC6=CC=CC=C6)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
2729,144206282,8310,CC1=C(C(=NC(=N1)NS(=O)(=O)C2=CC=C(C=C2)N)C)Br,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
2730,144206283,5281082,CC(=O)C1=CC2=C(SC3=CC=CC=C3N2CCCN4CCN(CC4)CCO)C=C1.C(=C\C(=O)O)\C(=O)O.C(=C\C(=O)O)\C(=O)O,Inconclusive,20,,,active agonist,active agonist,15.184,61.6837,inactive,,0,inconclusive agonist,13.3332,53.472,inactive,,0,NCI
2731,144206284,6433356,CCC(=O)C1=CC2=C(SC3=CC=CC=C3N2CCCN4CCN(CC4)CCO)C=C1.C(=C\C(=O)O)\C(=O)O.C(=C\C(=O)O)\C(=O)O,Inconclusive,20,,,active agonist,active agonist,10.5909,94.5238,inactive,,0,inconclusive agonist,11.2185,76.9428,inactive,,0,NCI
2732,144206285,21517,CCCCCCCCCCCC[N+]1=CC2=CC=CC=C2C=C1.CC1=CC=C(C=C1)S(=O)(=O)[O-],Active,56,,,active antagonist,active antagonist,3.53227,-82.7017,active antagonist,23.7101,-62.7773,active antagonist,4.27944,-97.6087,inactive,,0,NCI
2733,144206286,5358941,COC1=CC(=CC(=C1OC)OC)C=CC(=O)N2CCN(CC2)CC(=O)N3CCCC3.C(=C\C(=O)O)\C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
2734,144206287,53477580,C[C@H](CC1=CC=C(C=C1)OC)NC[C@@H](C2=CC(=C(C=C2)O)NC=O)O.C[C@H](CC1=CC=C(C=C1)OC)NC[C@@H](C2=CC(=C(C=C2)O)NC=O)O.C(=C/C(=O)O)\C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
